"Daily Minimum data	   supplied by UK-air on 12/04/2020",,,,
All Data GMT hour ending,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,
,Cardiff Centre,,Cardiff Newport Road,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status
14/10/1994,44,V ugm-3,No data,null
15/10/1994,38,V ugm-3,No data,null
16/10/1994,13,V ugm-3,No data,null
17/10/1994,23,V ugm-3,No data,null
18/10/1994,29,V ugm-3,No data,null
19/10/1994,17,V ugm-3,No data,null
20/10/1994,17,V ugm-3,No data,null
21/10/1994,11,V ugm-3,No data,null
22/10/1994,15,V ugm-3,No data,null
23/10/1994,17,V ugm-3,No data,null
24/10/1994,13,V ugm-3,No data,null
25/10/1994,11,V ugm-3,No data,null
26/10/1994,15,V ugm-3,No data,null
27/10/1994,32,V ugm-3,No data,null
28/10/1994,27,V ugm-3,No data,null
29/10/1994,11,V ugm-3,No data,null
30/10/1994,10,V ugm-3,No data,null
31/10/1994,8,V ugm-3,No data,null
01/11/1994,17,V ugm-3,No data,null
02/11/1994,15,V ugm-3,No data,null
03/11/1994,6,V ugm-3,No data,null
04/11/1994,6,V ugm-3,No data,null
05/11/1994,36,V ugm-3,No data,null
06/11/1994,10,V ugm-3,No data,null
07/11/1994,2,V ugm-3,No data,null
08/11/1994,4,V ugm-3,No data,null
09/11/1994,No data,V ugm-3,No data,null
10/11/1994,No data,V ugm-3,No data,null
11/11/1994,31,V ugm-3,No data,null
12/11/1994,8,V ugm-3,No data,null
13/11/1994,8,V ugm-3,No data,null
14/11/1994,6,V ugm-3,No data,null
15/11/1994,6,V ugm-3,No data,null
16/11/1994,29,V ugm-3,No data,null
17/11/1994,29,V ugm-3,No data,null
18/11/1994,13,V ugm-3,No data,null
19/11/1994,11,V ugm-3,No data,null
20/11/1994,4,V ugm-3,No data,null
21/11/1994,36,V ugm-3,No data,null
22/11/1994,25,V ugm-3,No data,null
23/11/1994,21,V ugm-3,No data,null
24/11/1994,17,V ugm-3,No data,null
25/11/1994,27,V ugm-3,No data,null
26/11/1994,17,V ugm-3,No data,null
27/11/1994,10,V ugm-3,No data,null
28/11/1994,10,V ugm-3,No data,null
29/11/1994,31,V ugm-3,No data,null
30/11/1994,21,V ugm-3,No data,null
01/12/1994,27,V ugm-3,No data,null
02/12/1994,17,V ugm-3,No data,null
03/12/1994,6,V ugm-3,No data,null
04/12/1994,8,V ugm-3,No data,null
05/12/1994,17,V ugm-3,No data,null
06/12/1994,8,V ugm-3,No data,null
07/12/1994,6,V ugm-3,No data,null
08/12/1994,6,V ugm-3,No data,null
09/12/1994,46,V ugm-3,No data,null
10/12/1994,11,V ugm-3,No data,null
11/12/1994,6,V ugm-3,No data,null
12/12/1994,8,V ugm-3,No data,null
13/12/1994,10,V ugm-3,No data,null
14/12/1994,11,V ugm-3,No data,null
15/12/1994,44,V ugm-3,No data,null
16/12/1994,No data,V ugm-3,No data,null
17/12/1994,No data,V ugm-3,No data,null
18/12/1994,10,V ugm-3,No data,null
19/12/1994,11,V ugm-3,No data,null
20/12/1994,21,V ugm-3,No data,null
21/12/1994,42,V ugm-3,No data,null
22/12/1994,44,V ugm-3,No data,null
23/12/1994,50,V ugm-3,No data,null
24/12/1994,31,V ugm-3,No data,null
25/12/1994,2,V ugm-3,No data,null
26/12/1994,6,V ugm-3,No data,null
27/12/1994,6,V ugm-3,No data,null
28/12/1994,6,V ugm-3,No data,null
29/12/1994,8,V ugm-3,No data,null
30/12/1994,4,V ugm-3,No data,null
31/12/1994,15,V ugm-3,No data,null
01/01/1995,6,V ugm-3,No data,null
02/01/1995,4,V ugm-3,No data,null
03/01/1995,10,V ugm-3,No data,null
04/01/1995,8,V ugm-3,No data,null
05/01/1995,13,V ugm-3,No data,null
06/01/1995,15,V ugm-3,No data,null
07/01/1995,34,V ugm-3,No data,null
08/01/1995,11,V ugm-3,No data,null
09/01/1995,11,V ugm-3,No data,null
10/01/1995,8,V ugm-3,No data,null
11/01/1995,10,V ugm-3,No data,null
12/01/1995,36,V ugm-3,No data,null
